source_artifact,case_set,case_id,category,status,expected_outcome,turn_injected,route_observed,planner_request_observed,target_selection_observed,execution_feedback_observed,failure_observed,replan_observed,terminal_observed,speech_observed,post_terminal_speech_observed,fallback_total,assessment_reasons
nao_semantic_ordered_v4_20260714.json,main,composite_walk_every_object_reports_main,composite_skill_execution,pass,execute_no_clarification,True,True,True,True,True,False,False,True,True,False,0,matched expected trajectory
nao_semantic_work_table_v5_20260714.json,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,pass,execute_no_clarification,True,True,True,True,True,False,False,True,True,False,0,matched expected trajectory
nao_v6_targeted_success.json,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,pass,execute_no_clarification,True,True,True,True,True,False,False,True,True,False,2,matched expected trajectory
nao_v6_targeted_success.json,fake_deep,fake_deep_iiia_kitchen_delivery,fake_deep_maximal_location_delivery,pass,execute_no_clarification,True,True,True,True,True,False,False,True,True,False,0,matched expected trajectory
nao_v6_targeted_success.json,fake_deep,fake_deep_iiia_floor_location_followup,fake_deep_post_effect_query,pass,observe,True,True,False,False,False,False,False,False,True,False,0,matched expected trajectory
nao_v6_targeted_success.json,fake_deep,fake_deep_gold_apple_multiturn,fake_deep_multiturn_pronoun_handoff,fail,execute_no_clarification,True,True,True,True,False,False,False,False,True,True,0,asked for clarification despite complete fixture context | expected planner request and execution feedback | missing terminal or speech evidence
nao_v6_targeted_success.json,fake_deep,fake_deep_gold_apple_followup,fake_deep_post_effect_query,pass,observe,True,True,False,False,False,False,False,False,True,False,0,matched expected trajectory
